Qty,Reference,Value,PARTNO,LCSC
2,C2 C4,30pF,0402CG300J500NT,C1570
10,C5 C6 C7 C10 C11 C12 C13 C14 C15 C16,0.1uF,CL05B104KB54PNC,C307331
4,C8 C9 C17 C18,1uF,CL05A105KA5NQNC,C52923
2,R2 R3,33,0402WGF330JTCE,C25105
1,R6,1k,RC0402FR-071KL,C106235
1,U1,SK6812,SK6812SIDE-A-RVS,C2890037
1,U3,RP2040,RP2040,C2040
1,U4,AP2112K-3.3TRG1,AP2112K-3.3TRG1,C51118
1,Y1,12MHz,X322512MSB4SI,C9002
1,J2,Hashboard0,PM200-2-09-W-4.3,C3012192
1,J1,USB_C_Receptacle_USB2.0,USB4105-GF-A,C2988369
1,U2,W25Q16JVUXIQ,W25Q16JVUXIQ,C2843335
1,R1,10k,0402WGF1002TCE,C25744
2,R4 R5,5.1k,RMCF0402JT5K10,C25905
1,R7,49.9k,RC0402FR-0749K9L,C137969
3,R25 R27 R29,4.7K,RC0805FR-074K7L,C25900
